longname,shortnam,mort,logmort0,risk,loggdp,latitude,neoeuro,asia,africa,other,rainmin,meantemp,malaria
Angola,AGO,280,5.6347895,5.3600001,7.77,.1367,0,0,1,0,0,26,1
Argentina,ARG,68.900002,4.232656,6.3899999,9.1300001,.37779999,0,0,0,0,56,17,0
Australia,AUS,8.5500002,2.1459312,9.3199997,9.8999996,.30000001,1,0,0,1,41,17,0
Burkina Faso,BFA,280,5.6347895,4.4499998,6.8499999,.1444,0,0,1,0,0,29,1
Bangladesh,BGD,71.410004,4.2684379,5.1399999,6.8800001,.2667,0,1,0,0,2,25,.17862
Bolivia,BOL,71,4.2626801,5.6399999,7.9299998,.18889999,0,0,0,0,8,12,.011357
Brazil,BRA,71,4.2626801,7.9099998,8.7299995,.1111,0,0,0,0,41,25,.033289999
Canada,CAN,16.1,2.7788193,9.7299995,9.9899998,.66670001,1,0,0,0,56,4,0
Chile,CHL,68.900002,4.232656,7.8200002,9.3400002,.33329999,0,0,0,0,3,17,0
Cote d'Ivoire,CIV,668,6.5042882,7,7.4400001,.0889,0,0,1,0,41,26,1
Cameroon,CMR,280,5.6347895,6.4499998,7.5,.066699997,0,0,1,0,23,25,1
Congo,COG,240,5.480639,4.6799998,7.4200001,.0111,0,0,1,0,0,25,1
Colombia,COL,71,4.2626801,7.3200002,8.8100004,.044399999,0,0,0,0,51,14,.261695
Costa Rica,CRI,78.099998,4.3579903,7.0500002,8.79,.1111,0,0,0,0,5,21,0
Dominican Re,DOM,130,4.8675346,6.1799998,8.3599997,.2111,0,0,0,0,36,26,0
Algeria,DZA,78.199997,4.3592696,6.5,8.3900003,.31110001,0,0,1,0,0,21,0
Ecuador,ECU,71,4.2626801,6.5500002,8.4700003,.0222,0,0,0,0,20,15,.195374
Egypt,EGY,67.800003,4.2165623,6.77,7.9499998,.30000001,0,0,1,0,0,24,0
Ethiopia,ETH,26,3.2580965,5.73,6.1100001,.0889,0,0,1,0,5,17,.58062702
Gabon,GAB,280,5.6347895,7.8200002,8.8999996,.0111,0,0,1,0,3,27,1
Ghana,GHA,668,6.5042882,6.27,7.3699999,.0889,0,0,1,0,15,27,1
Guinea,GIN,483,6.1800165,6.5500002,7.4899998,.1222,0,0,1,0,3,27,1
Gambia,GMB,1470,7.2930179,8.2700005,7.27,.1476,0,0,1,0,0,24,1
Guatemala,GTM,71,4.2626801,5.1399999,8.29,.17,0,0,0,0,3,19,.015368
Guyana,GUY,32.18,3.4713452,5.8899999,7.9000001,.055599999,0,0,0,0,76,27,.50836301
Hong Kong,HKG,14.9,2.7013612,8.1400003,10.05,.24609999,0,1,0,0,31,21,0
Honduras,HND,78.099998,4.3579903,5.3200002,7.6900001,.16670001,0,0,0,0,1,22,.1
Haiti,HTI,130,4.8675346,3.73,7.1500001,.2111,0,0,0,0,33,27,1
Indonesia,IDN,170,5.1357985,7.5900002,7.3299999,.055599999,0,1,0,0,43,28,.45168099
India,IND,48.630001,3.8842406,8.2700005,7.3299999,.22220001,0,1,0,0,3,24,.33260199
Jamaica,JAM,130,4.8675346,7.0900002,8.1899996,.2017,0,0,0,0,15,26,0
Kenya,KEN,145,4.9767337,6.0500002,7.0599999,.0111,0,0,1,0,15,18,.84483498
Sri Lanka,LKA,69.800003,4.2456341,6.0500002,7.73,.077799998,0,1,0,0,69,27,.175312
Morocco,MAR,78.199997,4.3592696,7.0900002,8.04,.3556,0,0,1,0,0,24,0
Madagascar,MDG,536.03998,6.2842088,4.4499998,6.8400002,.22220001,0,0,1,0,8,18,1
Mexico,MEX,71,4.2626801,7.5,8.9399996,.25560001,0,0,0,0,5,16,.041129999
Mali,MLI,2940,7.986165,4,6.5700002,.18889999,0,0,1,0,0,29,.98992401
Malaysia,MYS,17.700001,2.8735647,7.9499998,8.8900003,.025599999,0,1,0,0,99,28,.25432801
Niger,NER,400,5.9914646,5,6.73,.1778,0,0,1,0,0,29,.98422903
Nigeria,NGA,2004,7.6029005,5.5500002,6.8099999,.1111,0,0,1,0,25,28,1
Nicaragua,NIC,163.3,5.0955892,5.23,7.54,.1444,0,0,0,0,1,27,.1
New Zealand,NZL,8.5500002,2.1459312,9.7299995,9.7600002,.45559999,1,0,0,1,81,15,0
Pakistan,PAK,36.990002,3.6106477,6.0500002,7.3499999,.33329999,0,1,0,0,12,22,.494611
Panama,PAN,163.3,5.0955892,5.9099998,8.8400002,.1,0,0,0,0,10,27,.030996
Peru,PER,71,4.2626801,5.77,8.3999996,.1111,0,0,0,0,0,22,.029736999
Paraguay,PRY,78.099998,4.3579903,6.9499998,8.21,.25560001,0,0,0,0,38,22,.000172
Sudan,SDN,88.199997,4.4796071,4,7.3099999,.16670001,0,0,1,0,0,29,.98023999
Senegal,SEN,164.66,5.1038828,6,7.4000001,.1556,0,0,1,0,0,28,1
Singapore,SGP,17.700001,2.8735647,9.3199997,10.15,.0136,0,1,0,0,170,28,0
Sierra Leone,SLE,483,6.1800165,5.8200002,6.25,.092200004,0,0,1,0,3,27,1
El Salvador,SLV,78.099998,4.3579903,5,7.9499998,.15000001,0,0,0,0,46,24,0
Togo,TGO,668,6.5042882,6.9099998,7.2199998,.0889,0,0,1,0,15,27,1
Trinidad and Tobago,TTO,85,4.4426513,7.4499998,8.7700005,.1222,0,0,0,0,41,26,0
Tunisia,TUN,63,4.1431346,6.4499998,8.4799995,.37779999,0,0,1,0,3,24,0
Tanzania,TZA,145,4.9767337,6.6399999,6.25,.066699997,0,0,1,0,0,22,1
Uganda,UGA,280,5.6347895,4.4499998,6.9699998,.0111,0,0,1,0,46,24,1
Uruguary,URY,71,4.2626801,7,9.0299997,.36669999,0,0,0,0,66,20,0
USA,USA,15,2.7080503,10,10.22,.42219999,1,0,0,0,66,12,0
Venezuela,VEN,78.099998,4.3579903,7.1399999,9.0699997,.0889,0,0,0,0,10,20,.002234
Vietnam,VNM,140,4.9416423,6.4099998,7.2800002,.1778,0,1,0,0,18,25,.71545798
South Africa,ZAF,15.5,2.74084,6.8600001,8.8900003,.3222,0,0,1,0,8,19,0
Zaire,ZAR,240,5.480639,3.5,6.8699999,0,0,0,1,0,3,25,1
